,Glass,Paper & Card,Metal,Organic,Wood,WEEE,Batteries,Tyres,Soil,Plasterboard,Oil,Other Materials,Textiles,Co-mingled,Furniture,Composite,Plastic,Rubble,Paint
North Warwickshire Borough Council,195.56,894.4,58.07,973.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.57,0.65,0.0,0.0,0.0,131.55,0.0,0.0
Hillingdon LB,101.0,310.0,132.0,2076.0,234.0,180.0,2.0,0.0,0.0,30.0,2.0,0.0,208.0,5523.0,0.0,112.0,28.0,207.0,0.0
Windsor and Maidenhead Borough Council,0.0,81.02,113.28,1736.3600000000001,397.82,173.94,5.5600000000000005,0.0,43.08,22.4,0.0,20.86,21.96,3854.0,0.0,0.0,0.0,270.44,0.0
Eden District Council,0.0,583.15,0.0,421.0,0.0,5.98,0.0,0.0,0.0,0.0,0.0,198.783,15.88,511.85,0.0,0.0,36.78,0.0,0.0
High Peak Borough Council,682.98,0.0,0.0,977.08,0.0,3.12,0.0,0.0,0.0,0.0,0.0,0.0,9.26,1549.46,65.77,1.67,0.0,0.0,0.0
Poole Borough Council,0.0,122.36999999999999,190.26,1391.54,767.47,269.65999999999997,9.370000000000001,1.14,0.0,35.4,2.38,13.52,41.830000000000005,3950.41,24.61,0.0,0.0,199.95000000000002,0.0
Eastbourne Borough Council,345.40000000000003,0.97,0.0,578.706,0.0,2.46,0.0,0.0,0.0,0.0,0.0,0.0,27.545,1521.54,0.0,0.0,0.0,0.0,0.0
Gloucestershire County Council,87.2,649.292,669.608,1271.26,1888.74,728.0390000000001,24.666,0.0,333.88,287.74,18.4,36.596,85.2,0.0,0.0,0.13,22.729999999999997,1891.98,0.3
Dartford Borough Council,416.11,16.97,1.64,176.28,0.0,3.8,0.0,0.0,0.0,0.0,0.0,0.0,20.01,1660.9,0.0,0.0,0.0,0.0,0.0
Ribble Valley Borough Council,13.6,531.38,1.1,372.36,0.0,2.56,0.0,0.0,0.0,0.0,0.0,0.0,4.984,704.3000000000001,0.0,0.0,0.0,0.0,0.0
Scarborough Borough Council,0.0,62.153999999999996,9.800999999999998,389.86400000000003,0.0,0.094,0.0,0.0,0.0,0.0,0.0,0.452,207.419,2674.4,26.081,0.0,12.555,0.0,0.0
Waveney District Council,516.089,0.0,0.0,1926.1799999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,217.25,18.342,2419.2400000000002,0.0,0.0,0.0,0.0,0.0
Warwick District Council,861.32,1330.8600000000001,123.93,2041.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,546.38,23.58,157.86,0.0,0.0,282.38,0.0,0.0
Bury MBC,0.0,2147.28,0.0,2494.98,0.0,5.68,0.0,0.0,0.0,0.0,0.0,0.0,7.36,2270.5,0.0,0.0,0.0,0.0,0.0
Brent LB,2.92,70.72999999999999,49.46,2382.04,127.2,39.900000000000006,4.4,1.96,0.0,0.0,0.64,229.74,123.46000000000001,5317.92,0.0,0.0,9.46,22.0,0.0
Merton LB,14.39,123.52000000000001,114.19999999999999,1356.54,532.19,146.17,4.07,0.0,0.0,26.12,0.8,2.28,102.7,3887.06,0.0,51.06,40.96,585.16,0.0
East Devon District Council,716.42,756.02,167.54,1499.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,386.805,88.59,0.0,5.398,0.0,166.28,0.0,0.0
Rother District Council,502.827,39.795,2.35,922.183,0.0,16.93,0.0,0.0,0.0,0.0,0.0,0.0,48.457,1693.2140000000002,0.0,0.0,0.0,0.0,0.0
Gloucester City Council,630.18,910.55,129.2,1166.96,4.76,16.34,0.0,0.0,0.0,0.0,0.0,45.13,116.74000000000001,0.0,108.38,0.88,178.0,0.0,0.0
Maidstone Borough Council,43.300000000000004,4.89,0.0,1990.54,0.0,1.76,0.0,0.0,0.0,0.0,0.0,0.0,2.2,4011.12,0.0,0.0,0.0,0.0,0.0
Wyre Borough Council,24.48,1271.2700000000002,0.075,1249.38,0.0,8.36,0.0,0.0,0.0,0.0,0.0,0.3,9.73,1098.46,10.92,0.0,0.0,0.0,0.0
Leicester City Council,46.0,319.0,243.0,597.0,870.0,205.0,0.0,2.0,0.0,44.0,5.0,0.0,40.0,4201.0,4.0,0.0,0.0,955.0,3.0
Great Yarmouth Borough Council,235.48,84.44000000000001,0.0,282.72,0.0,29.16,0.0,0.33,0.0,0.0,0.0,0.0,129.59,2034.62,48.83,0.0,0.0,0.0,0.0
Corby Borough Council,11.19,0.0,0.0,528.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,298.88,22.87,1629.48,0.0,0.0,0.0,0.0,0.0
Oxfordshire County Council,100.49,661.44,726.48,1365.58,2408.09,1067.22,35.440000000000005,37.2,0.0,152.29,9.85,54.29,89.3,0.0,109.9,0.0,57.18,793.7,0.0
Salford City Council MBC,0.0,2337.0,0.0,3251.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0,2205.0,0.0,0.0,0.0,0.0,0.0
Sheffield City Council,145.4,4327.8,400.5,1008.0,1116.0,426.40000000000003,11.299999999999999,0.0,0.0,100.8,4.7,22.6,82.69999999999999,5139.8,0.0,0.0,0.0,0.0,0.0
Coventry City Council,0.0,210.553,100.32900000000001,1188.8,822.86,187.39999999999998,6.11,3.02,13.0,45.78,5.05,2.61,153.64999999999998,5887.35,0.0,51.57,0.0,1527.74,10.38
Hackney LB,406.23,111.28999999999999,86.86,1259.6399999999999,76.28,86.18,0.0,2.98,0.0,0.0,0.0,3.35,130.03,4207.42,16.56,103.38,0.0,0.0,0.0
Waltham Forest LB,0.0,105.97,78.8,1371.2199999999998,600.52,146.38,0.0,3.76,0.0,31.78,4.38,200.35,144.06,5163.07,29.4,0.02,11.44,785.38,8.04
East Cambridgeshire District Council,41.479,20.52,0.0,1443.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.042,5.618,2018.6200000000001,0.0,0.0,1.6,0.0,0.0
Redcar and Cleveland Borough Council,12.96,789.74,38.711000000000006,727.995,419.89,73.084,0.0,15.716,0.0,17.96,0.0,42.97,18.063,2370.52,0.0,38.24,22.759999999999998,571.86,0.4
South Hams District Council,515.9,1171.91,20.54,1751.51,0.76,4.69,0.0,0.0,0.0,0.0,0.0,180.8,50.981,212.06,39.4,2.66,0.0,0.0,0.0
Basildon District Council,1046.094,39.967,26.6,2831.7,192.14,48.611000000000004,0.0,2.241,0.0,0.0,0.167,182.18,47.699999999999996,3898.07,0.0,0.0,0.987,0.0,0.0
Kingston-upon-Hull City Council,9.51,268.75,224.71,2572.1,1035.5,339.4200000000001,9.39,10.059999999999999,0.0,90.56,1.26,0.03,152.95,5727.87,0.0,0.35,2.1500000000000004,1044.74,0.0
Swale Borough Council,46.98,141.5,0.0,1121.33,0.0,5.02,0.0,0.0,0.0,0.0,0.0,0.0,24.69,3321.19,18.05,0.0,0.0,0.0,0.0
Rutland County Council,25.0,98.99,1.3,600.1800000000001,157.57,142.89000000000001,2.36,2.64,0.0,12.42,0.0,0.13,12.61,1049.76,11.58,53.56999999999999,22.42,222.0,0.39
Kings Lynn and West Norfolk Borough Council,135.67,172.03,1.85,1807.13,0.0,8.2,0.0,4.87,0.0,0.44,0.0,0.0,214.06,3466.84,20.5,0.0,0.0,0.0,0.0
Northampton Borough Council,1277.8899999999999,2176.6800000000003,335.54999999999995,2137.4700000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.41,13.430000000000001,0.0,9.17,0.0,463.40000000000003,0.0,0.0
Vale of White Horse District Council,0.0,3.025,0.0,1996.52,0.0,1.386,0.0,0.0,0.0,0.0,0.0,246.79,37.66,4044.19,0.0,0.0,0.0,0.0,0.0
Sedgemoor District Council,746.8600000000001,1194.375,165.544,1389.27,0.0,0.0,0.54,0.0,0.0,0.0,0.0,34.308,44.138999999999996,0.0,17.705,1.071,157.047,0.0,0.0
Suffolk County Council,569.96,714.316,1097.277,1583.956,2640.6,1363.1589999999999,52.821,0.0,0.0,114.34,21.160999999999998,26.144,219.62,0.0,49.393,4.543,413.82,1676.16,0.0
Wigan MBC,29.769999999999996,259.27,288.03,2832.4,1276.02,379.6,13.187000000000001,18.18,0.0,59.4,4.858,35.99,174.17000000000002,7011.5,0.0,0.0,159.84,1251.42,40.94
Knowsley MBC,13.42,9.04,1.18,548.38,1.7,8.4,0.0,0.0,0.0,0.0,0.0,0.0,30.060000000000002,3102.36,0.0,1.31,0.0,0.0,0.0
Walsall MBC,0.0,152.38,141.63,664.94,725.86,201.07999999999998,11.190000000000001,6.22,0.0,0.0,2.71,0.0,17.78,5656.26,0.0,0.0,13.079,497.03,0.0
Islington LB,5.02,82.92,65.6,919.9000000000001,302.98,123.66,3.7,0.0,0.0,24.32,0.74,104.38,89.32,3730.69,55.650000000000006,0.38,20.28,288.46,0.0
West Berkshire District Council,1190.7,2326.54,240.70999999999998,2638.8,726.5,325.3,31.759999999999998,17.33,0.0,58.1,4.77,1.64,150.28,348.84,19.48,2.7499999999999996,35.92,530.8,10.83
South Cambridgeshire District Council,0.0,967.42,0.0,2765.24,0.0,0.37,0.0,0.0,0.0,0.0,0.0,4.44,8.578,3312.16,0.0,0.0,4.6,0.0,0.0
Middlesbrough Borough Council,303.749,1700.1069999999997,182.44400000000002,141.94,439.016,193.44600000000003,1.404,6.75,105.273,19.251,1.629,0.0,8.421,0.0,0.0,32.067,311.93600000000004,1338.058,0.0
Barrow-in-Furness Borough Council,0.0,231.22,0.0,390.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,117.178,0.0,1157.24,0.0,0.0,0.0,0.0,0.0
Torridge District Council,453.96900000000005,617.234,77.24000000000001,931.203,0.0,18.561,0.503,0.0,0.0,0.0,0.0,281.742,20.776,0.0,6.252,0.0,126.495,0.0,0.0
Chelmsford Borough Council,1065.56,1745.4299999999998,158.66,2626.61,0.0,24.549,0.0,0.0,0.0,0.0,0.0,198.539,3.48,0.0,0.0,0.0,361.82,0.0,0.0
Eastleigh Borough Council,873.7099999999999,19.14,0.0,1081.87,0.0,2.1399999999999997,2.38,0.0,0.0,0.0,0.0,0.0,85.04,2002.82,0.0,0.0,0.0,0.0,0.0
Herefordshire Council,45.26,210.61,444.92,937.95,668.3,155.40999999999997,9.68,8.3,0.0,71.84,6.09,0.11,28.135,4669.6,5.111,0.05,0.0,1045.78,0.0
Broxbourne Borough Council,491.62,565.3000000000001,6.44,1298.21,0.0,5.58,0.0,0.0,0.0,0.0,0.0,0.0,22.71,286.21,0.0,0.0,0.0,0.0,0.0
Kent County Council,340.48,1696.1599999999999,2175.07,3400.02,5653.14,1723.1699999999998,76.71000000000001,9.2,0.0,368.46,23.25,6.78,274.74,0.0,0.0,0.2,0.0,5262.36,0.0
Ashfield District Council,711.3599999999999,5.23,0.0,207.94,0.0,12.439,0.0,0.0,0.0,0.0,0.0,208.22,7.98,2145.02,0.0,0.0,0.0,0.0,0.0
Mid Suffolk District Council,1070.1689999999999,134.014,11.57,1236.8400000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,247.095,46.535000000000004,3527.09,0.0,0.386,0.0,3.52,0.0
Nuneaton and Bedworth Borough Council,41.211,1094.7549999999999,10.05,1259.31,0.0,9.748,0.0,0.0,0.0,0.0,0.0,165.02,8.949,1393.66,0.0,0.0,0.0,0.0,0.0
Wirral MBC,20.625,2.8,0.45,1358.54,0.0,21.752000000000002,0.0,0.0,0.0,0.0,0.0,0.0,26.543,7364.39,0.0,1.595,0.0,0.0,0.0
North Tyneside Council,1179.4099999999999,174.85000000000002,168.61,968.04,786.45,197.67000000000002,4.28,6.8500000000000005,0.0,59.02,0.0,2.62,85.63999999999999,2585.52,54.96,0.0,31.79,927.9399999999999,0.0
Bradford City MDC (MBC),207.0,2807.0,191.0,1727.0,1235.0,424.6,11.0,22.0,0.0,107.0,0.0,0.0,341.0,2241.0,124.0,59.0,0.0,559.0,14.0
West London Waste Authority,0.0,5.26,0.1,105.44,209.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.16,0.0,0.0,0.0
Redbridge LB,663.6,2155.3,222.29999999999998,1101.8,489.8,159.79999999999998,4.9,3.5,0.0,0.0,2.0,913.1,43.1,0.0,1.0,0.0,313.2,67.8,1.6
Wokingham Council,1097.4,192.88000000000002,294.95,1340.6799999999998,1018.94,318.99999999999994,12.18,11.53,152.47,62.75,4.6,5.11,138.59,2441.08,0.0,4.79,21.14,678.34,36.11
South Lakeland District Council,132.32,327.16,12.8,1375.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,204.214,0.0,1504.78,0.0,0.0,71.22,0.0,0.0
Torbay Council,1001.94,1418.9299999999998,296.3,1724.32,496.7,185.92,6.86,3.98,0.0,22.24,5.24,0.0,44.72,390.36,3.52,0.0,226.74,124.4,0.32
Maldon District Council,384.462,679.17,0.0,789.0999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.151,191.193,0.0,0.678,0.0,0.0,0.0
Havant Borough Council,477.14,22.822,31.08,244.34,0.0,4.38,0.0,0.0,0.0,0.0,0.0,0.0,66.123,2066.02,0.0,0.0,23.05,0.0,0.0
North Hertfordshire District Council,75.96,1057.1299999999999,0.93,2472.36,0.0,5.94,0.0,0.0,0.0,0.0,0.0,0.0,11.99,2403.06,0.0,0.0,0.0,0.0,0.0
Dover District Council,0.0,1130.06,0.0,1017.56,0.0,5.61,0.833,0.0,0.0,0.0,0.0,0.0,16.845,1340.09,0.0,0.0,0.0,0.0,0.0
Charnwood Borough Council,57.275999999999996,40.499,2.026,1246.12,0.0,42.919,1.864,0.0,0.0,0.0,0.0,257.668,85.078,4199.2,52.137,0.0,0.582,0.0,0.0
Norfolk County Council,215.72000000000003,642.5899999999999,805.694,2689.61,617.41,1527.385,51.188,6.6,0.0,170.25,24.808999999999997,161.155,167.56,0.0,0.0,94.21300000000001,76.58,939.83,0.0
Mansfield District Council,224.63,5.5,1.42,553.22,9.62,0.0,0.0,0.0,0.0,0.0,0.0,362.57,16.57,2002.98,0.0,0.0,0.0,0.0,0.0
Cannock Chase Council,0.314,1.56,0.0,986.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,153.91,10.861,2760.42,0.0,0.0,0.0,0.0,0.0
Swindon Borough Council,1130.4,2190.29,448.02,915.34,1129.04,264.57,12.99,0.0,0.0,71.72,5.17,0.0,34.21,0.0,39.02,0.0,443.43,1783.12,0.0
Wakefield City MDC,236.24,3470.73,290.6499999999999,1692.15,1174.93,385.35,10.65,29.04,0.0,133.44,8.5,5.35,265.73,2971.94,0.0,45.599999999999994,71.2,108.96,7.86
Camden LB,0.0,74.28999999999999,45.96,776.0500000000001,283.78,112.76,0.0,0.0,0.0,31.43,0.5,259.57,135.29,4568.679999999999,6.25,0.06,7.7,262.98,0.24
Westminster City Council,1098.44,553.52,0.0,553.6,0.0,124.61999999999999,0.33,0.0,0.0,0.0,0.0,0.0,81.92,4832.16,0.0,0.0,0.0,0.0,0.0
Exeter City Council,564.28,224.45,15.57,313.94,4.14,6.579000000000001,0.0,0.0,0.0,0.0,0.0,29.44,90.364,2188.68,32.248,0.954,10.27,0.0,0.0
Southampton City Council,1077.38,148.06,293.51000000000005,937.92,0.0,156.86,14.39,0.0,240.4,80.78,2.02,113.38,94.86,2769.19,0.0,0.0,12.58,446.47,0.0
Watford Borough Council,3.48,3.6399999999999997,0.0,817.42,0.0,4.055,0.0,0.0,0.0,0.0,0.0,0.0,4.89,2038.27,0.0,0.0,0.0,0.0,0.0
North Lincolnshire Council,930.679,1133.9940000000001,499.855,1753.13,765.62,322.759,11.460999999999999,6.436,0.0,19.44,5.45,120.40899999999999,181.988,993.975,30.136,138.28399999999996,102.58,1003.3399999999999,0.54
Melton Borough Council,0.0,3.5260000000000002,0.054,396.20000000000005,0.0,0.303,0.0,0.0,0.0,0.0,0.0,89.028,36.054,1427.04,10.953,0.0,0.136,0.0,0.0
North Norfolk District Council,204.26,187.67,0.0,1042.03,0.0,1.84,0.0,0.94,0.0,0.0,0.0,0.0,222.02999999999997,2829.04,39.35,0.0,3.22,0.0,0.0
Ryedale District Council,417.33,543.6,108.07000000000001,442.35,0.0,2.48,0.0,0.0,0.0,0.0,0.0,0.0,15.719999999999999,0.0,0.0,1.78,68.89,0.0,0.0
Daventry District Council,516.59,860.31,111.02,1375.5500000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.3,0.0,8.31,0.0,153.31,0.0,0.0
Stafford Borough Council,0.0,715.62,14.66,1389.72,0.0,18.02,0.0,0.0,0.0,0.0,0.0,285.95,0.34,2754.3,0.0,0.0,0.0,0.0,0.0
Guildford Borough Council,67.79,257.41,0.66,2126.44,0.0,11.08,1.8,0.0,0.0,0.0,0.0,1418.0,41.29,3672.2369999999996,339.94,0.0,1.87,0.0,0.0
Adur District Council,0.0,46.16,0.0,198.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.12,1411.42,0.0,0.0,0.0,0.0,0.0
Haringey LB,4.4399999999999995,99.46000000000001,69.88000000000001,1398.78,462.12,170.33,0.0,3.26,0.0,62.32,4.35,297.88,112.1,5294.35,48.66,0.08,5.46,649.62,3.43
Bristol City Council,2851.34,4427.57,728.83,4099.58,1339.81,330.71000000000004,17.14,13.24,0.0,49.16,4.26,1.0,124.26,0.0,0.0,0.0,1496.32,1058.82,0.0
Council of the Isles of Scilly,18.99,0.0,36.6,0.0,0.0,10.01,0.0,0.0,0.0,0.0,0.56,0.0,0.66,0.0,0.0,0.0,0.0,52.0,0.0
Teignbridge District Council,1069.84,834.2669999999999,192.90800000000002,2923.4170000000004,9.74,11.479,0.0,0.0,0.0,0.0,0.0,538.638,76.74,0.0,24.8,3.039,208.762,3.46,0.0
Braintree District Council,827.37,97.61,0.0,2487.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,393.72900000000004,19.956000000000003,2710.87,0.36,0.0,0.0,0.0,0.0
Essex County Council,351.35,1439.529,1573.248,3439.78,6723.86,1920.946,39.038,91.814,0.0,414.14,60.725,0.0,359.34,0.0,51.243,0.0,22.3,0.0,4.328
Hampshire County Council,696.56,1659.68,2999.67,6740.56,0.0,1383.3700000000001,115.96,0.0,0.0,495.28,34.4,1054.71,329.29,0.0,0.0,0.0,19.4,5810.05,0.0
Thanet District Council,83.98,1256.93,12.4,1086.46,0.0,12.56,0.0,5.44,0.0,0.0,0.0,0.0,17.14,1158.62,0.0,0.0,0.0,0.0,0.0
Burnley Borough Council,15.46,669.49,0.0,268.98,0.0,5.73,0.0,0.0,0.0,0.0,0.0,0.0,4.31,761.64,15.55,0.0,0.0,0.0,0.0
Boston Borough Council,52.85,41.324,0.22499999999999998,207.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.26,25.005,1664.9,2.788,0.0,1.0,0.0,0.0
South Northamptonshire District Council,17.96,24.439999999999998,24.34,1834.3999999999999,0.0,10.95,0.73,0.0,34.16,0.0,1.5,0.0,32.477000000000004,2416.2,0.0,0.0,0.8,64.04,0.0
Tamworth Borough Council,15.911,3.952,0.0,620.49,0.0,12.445,0.0,0.0,0.0,0.0,0.0,99.73,29.089,2026.48,0.0,0.0,0.0,0.0,0.0
Spelthorne Borough Council,0.0,0.97,0.0,811.37,0.0,0.96,0.0,0.0,0.0,0.0,0.0,791.0,42.933,2299.7,0.0,0.3,0.0,0.0,0.0
Horsham District Council,42.82,45.14,0.0,1500.634,0.0,11.600000000000001,0.0,0.0,0.0,0.0,0.0,0.0,31.71,3384.35,17.16,0.0,0.0,0.0,0.0
Liverpool City Council,0.0,18.22,0.0,1555.834,0.0,0.0,0.0,0.0,0.0,0.0,0.0,559.395,67.687,7368.94,65.997,0.878,0.0,0.0,0.0
Barking and Dagenham LB,34.4,110.4,117.39999999999999,322.40000000000003,876.8,154.2,3.9,2.6,0.0,0.0,2.5,100.7,31.2,2210.8,0.4,0.0,36.3,72.2,2.0
Royal Borough of Kingston upon Thames ,868.693,1849.057,242.619,1821.62,504.6,176.82500000000002,6.582,0.0,0.0,21.4,1.2,1.0,46.559,0.0,111.127,47.4,590.518,471.96,0.0
Wiltshire,3279.51,3947.86,1354.79,5511.1,0.0,1784.0900000000001,45.15,56.47,174.73,269.84,16.21,0.0,248.01,3496.73,34.45,16.970000000000002,282.46,719.93,11.1
Cornwall,432.0,996.94,1201.4900000000002,3739.66,2526.11,792.51,22.2,6.76,0.0,116.42,2.13,0.32,96.94999999999999,7989.4,58.39,0.0,39.04,523.16,0.0
Bedford,540.1999999999999,148.96,123.62,1354.52,83.58,206.07000000000002,9.280000000000001,2.2,0.0,13.66,3.7,33.9,88.4,2846.7,0.0,0.0,10.510000000000002,177.24,42.7
Central Bedfordshire,1355.94,315.82,395.58,3113.82,422.92,383.89,10.15,44.102999999999994,0.0,77.71,5.050000000000001,31.06,94.77,5531.98,0.0,0.0,16.42,826.34,557.15
Shropshire,1488.74,2482.2900000000004,322.62,4951.505999999999,828.36,450.63,17.01,18.46,0.0,78.54,10.87,38.22,208.92000000000002,1818.18,0.0,9.56,75.66999999999999,210.58,0.0
Cheshire East,126.32999999999998,533.32,425.3,4790.46,1413.27,556.8100000000001,13.83,0.0,0.0,0.0,10.719999999999999,270.26,185.95,9694.58,25.55,0.0,112.95,1953.7,0.0
Cheshire West and Chester,2663.48,4130.062,954.444,6222.21,1425.6599999999999,534.14,18.815,1.8,0.0,0.0,13.923,161.94,314.55600000000004,150.3,91.27000000000001,0.0,1092.595,1899.81,1.7
Northumberland,1316.4,360.5,411.4,1680.5,1135.2,493.9,17.7,35.099999999999994,0.0,121.4,11.3,37.3,348.8,5182.5,0.0,2.2,123.6,1117.8,0.0
County Durham,2663.77,522.3499999999999,542.3199999999999,2088.3999999999996,1848.59,469.12,15.93,47.44,0.0,215.02,10.88,167.29,522.71,10000.15,0.0,4.93,246.97,1829.14,0.0
Dorset Waste Partnership,3168.73,1561.4499999999998,1234.67,9167.41,2194.88,768.6700000000001,39.22,17.02,0.0,202.34,20.05,410.21999999999997,444.28000000000003,7132.51,41.15,3.98,50.440000000000005,1114.56,13.0
